category,sub_category,category_code
sofa,sofa-beds,10663
sofa,fabric-sofas,10661
sofa,modular-sofas,16238
sofa,footstools-pouffes,20926
sofa,leather-coated-fabric-sofas,10662
bed,double-beds,16284
bed,beds-with-storage,25205
bed,divan-beds,28433
bed,single-beds,16285
bed,guest-beds-day-beds,19037
bed,upholstered-beds,49096
bed,childrens-beds,18723
bed,loft-beds-bunk-beds,19039
table,table-desk-systems,47423
table,desks-computer-desks,20649
table,bedside-tables,20656
table,coffee-side-tables,10705
table,dining-table-sets,19145
table,dining-tables,21825
table,changing-tables,45783
table,dressing-tables,20657
table,childrens-tables,18768
table,bar-tables,20862
table,meeting-conference-tables,54173
table,cafe-tables,19143
table,console-tables,16246
chair,fabric-armchairs,10687
chair,fabric-chaise-longues,10679
chair,chair-beds,16296
chair,lounge-chairs,53257
chair,rattan-armchairs,20907
chair,recliners,47359
chair,coated-fabric-armchairs,35186
chair,leather-armchairs,10696
chair,leather-coated-fabric-armchairs,35184
chair,leather-coated-fabric-chaise-longues,10694
chair,desk-chairs,20652
chair,dining-chairs,25219
chair,stools-benches,10728
chair,dining-table-sets,19145
chair,bar-stools-chairs,20864
chair,childrens-armchairs,20483
chair,small-chairs,18769
chair,childrens-desk-chairs,24715
chair,childrens-stools-benches,45816
chair,junior-dining-chairs,45815
chair,cafe-chairs,19144
chair,baby-chairs-highchairs,45782
lighting,table-lamps,10732
lighting,floor-lamps,10731
lighting,led-lights,20515
lighting,ceiling-lights,18750
lighting,work-lamps,20502
lighting,wall-lights,20503
lighting,childrens-lighting,18773
lighting,spotlights,20506
lighting,led-light-bulbs,10744
lighting,decorative-lighting,14971
lighting,bathroom-cabinet-lighting,55010
lighting,kitchen-lighting,16282
lighting,bookcase-lighting,16281
lighting,wardrobe-lighting,16283
lighting,smart-lighting,36812
lighting,outdoor-lighting,17897
lighting,bathroom-lighting,10736